ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING Video Card,94339
GIGABYTE,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card| GV-N207SWF3OC-8GD,37817
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING Video Card,968142
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 Video Card,9421
EVGA,EVGA GeForce RTX 2060 SC Ultra GAMING| 06G-P4-2067-KR| 6GB GDDR6| Dual HDB Fans,293762
ASUS,ASUS Dual GeForce RTX 2080 Ti DirectX 12 DUAL-RTX2080TI-O11G Video Card,946782
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),11666
ASUS,ASUS ROG STRIX GeForce RTX 2060 SUPER DirectX 12 ROG-STRIX-RTX2060S-A8G-GAMING Video Card,36205
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT TAICHI X 8G OC+ Video Card,35512
EVGA,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,897692
ZOTAC,ZOTAC GAMING GeForce RTX 2070 SUPER MINI 8GB GDDR6 Gaming Graphics Card| ZT-T20710E-10M,387672
EVGA,EVGA GeForce RTX 2060 SUPER XC GAMING| 08G-P4-3162-KR,355992
ASRock,ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC Video Card,31011
GIGABYTE,GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card| GV-R57XTGAMING OC-8GD,316962
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR Video Card,315422
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X Video Card,413602
PowerColor,PowerColor RED DRAGON Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHDV2/OC Video Card,14482
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC Video Card,15148
EVGA,EVGA GeForce GTX 1660 BLACK GAMING Video Card| 06G-P4-1160-KR| 6GB GDDR5| Single Fan,186632
PowerColor,PowerColor Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DH Video Card,30573
ZOTAC,ZOTAC GAMING GeForce GTX 1660 Ti 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| ZT-T16610F-10L,228502
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT DirectX 12 100416NT+SESR Video Card| SPECIAL EDITION,34788
MSI,MSI Radeon RX 5700 XT DirectX 12 RX 5700 XT MECH OC Video Card,302393
GIGABYTE,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SGAMINGOC WHITE-8GD REV2.0 Video Card,31767
XFX,XFX Radeon RX 580 DirectX 12 RX-580P8RFD6 Video Card,13728
Sapphire Tech,Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL,153522
ASUS,ASUS GeForce RTX 2070 Super Overclocked 8G EVO Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),42450
ASRock,ASRock Phantom Gaming D Radeon RX 5700 XT 8G OC Video Card| RX5700XT PGD 8GO,31013
GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G Video Card,21966
GIGABYTE,GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card| GV-N208SWF3OC-8GD,579273
EVGA,EVGA GeForce RTX 2070 SUPER XC ULTRA+ Video Card| OVERCLOCKED| 2.75-Slot Extreme Cool Dual,46253
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR Video Card,34733
